1922,6002
1923,6523
1924,6937
1925,6828
1926,6717
1927,6655
1928,6725
1929,6520
1930,6229
1931,6053
1932,5842
1933,4435
1934,4229
1935,4888
1936,5350
1937,6405
1938,6323
1939,6286
1940,6095
1941,4600
1942,2100
1943,1400
1944,1855
1945,2506
1946,4031
1947,4454
1948,4194
1949,5049
1950,4805
1951,4953
1952,5028
1953,4754
1954,5179
1955,5048
1956,5023
1957,5164
1958,5240
1959,5264
1960,5341
1961,5192
1962,4959
1963,4758
1964,4457
1965,4253
1966,4242
1967,4093
1968,4088
1969,4087
1970,4226
1971,4372
1972,4404
1973,4386
1974,4546
1975,4611
1976,4720
1977,4693
1978,4763
1979,4807
1980,4851
1981,4961
1982,5100
1983,5392
1984,5387
1985,5374
1986,5611
1987,5599
1988,5381
1989,5062
1990,4853
