Year,BraOAT15,BraOAT20,BraOAT25,BraOAT30,BraOAT35,BraOAT40,BraOAT45,BraOAT50,BraO1T15,BraO1T20,BraO1T25,BraO1T30,BraO1T35,BraO1T40,BraO1T45,BraO1T50,BraO2T15,BraO2T20,BraO2T25,BraO2T30,BraO2T35,BraO2T40,BraO2T45,BraO2T50,BraO3T15,BraO3T20,BraO3T25,BraO3T30,BraO3T35,BraO3T40,BraO3T45,BraO3T50,BraO4T15,BraO4T20,BraO4T25,BraO4T30,BraO4T35,BraO4T40,BraO4T45,BraO4T50,BraO5T15,BraO5T20,BraO5T25,BraO5T30,BraO5T35,BraO5T40,BraO5T45,BraO5T50
1959,30668,159569,151700,100481,55969,19689,2780,415,28812,113376,49759,15640,5578,1108,91,15,1766,37962,59618,31108,10214,1670,123,29,90,6788,27227,23375,10529,2126,184,36,0,1127,10451,14870,9090,2489,276,53,0,315,4645,15488,20559,12296,2105,283
1960,33339,157152,151032,99675,55088,18905,2425,434,31207,110111,48269,14929,5636,1186,93,13,2001,38419,60156,31761,10479,1726,115,23,130,7124,27575,23392,10533,2064,172,37,1,1176,10378,14450,8764,2340,220,56,0,322,4653,15143,19677,11589,1825,305
1961,31573,160524,143076,91894,48373,16911,1888,290,29482,112407,47282,14155,5166,1145,64,6,1962,39257,56119,29785,9538,1631,101,17,128,7351,25166,21087,9155,1848,119,22,1,1204,9725,12872,7508,2039,176,28,0,305,4784,13996,17006,10248,1428,217
1962,21392,154438,137462,87772,44977,15754,1549,256,20024,108392,48511,13326,4945,1215,64,2,1283,37566,54089,29232,9182,1703,74,11,86,6983,22305,19860,8656,1795,100,15,0,1202,8510,12184,6722,1889,155,31,0,295,4047,13169,15472,9152,1155,197
1963,20783,155463,133207,82177,42234,14785,1603,227,19594,106415,47351,12556,4547,1189,70,4,1115,39719,53393,27604,8919,1690,81,11,75,7622,20915,18542,8307,1794,110,15,0,1363,7897,10880,6233,1822,137,24,0,344,3652,12595,14228,8290,1205,175
1964,22206,148975,124331,77401,38721,14191,1531,175,21035,101972,46829,12341,4614,1290,76,3,1079,38201,49260,26338,8643,1722,96,7,91,7204,18038,16484,7437,1735,108,9,0,1278,6848,10118,5498,1631,131,20,0,320,3356,12121,12529,7813,1121,135
1965,24790,141921,119090,76138,37690,13078,1588,153,23525,98431,43943,12186,4427,1204,72,4,1175,35066,48538,26538,8571,1610,89,5,89,6774,16960,16078,7119,1629,120,10,0,1319,6428,9731,5333,1559,145,14,0,331,3222,11605,12240,7075,1161,121
1966,26853,141497,118192,78420,36793,12182,1462,137,25559,103254,43107,12445,4249,1157,79,1,1228,31379,49546,28686,8448,1563,84,5,65,5481,16237,16363,6993,1487,96,7,1,1093,6145,9411,5113,1448,120,11,0,289,3157,11515,11989,6528,1083,113
1967,25374,139892,111221,74555,34088,10777,1314,133,24092,107606,39302,12769,4037,1074,75,1,1220,27111,48575,28557,7897,1404,87,4,62,4041,14831,14831,6439,1393,98,5,0,873,5565,8260,4552,1243,102,14,0,261,2948,10137,11164,5664,951,109
1968,27839,138504,106414,72596,32519,10317,1193,101,26534,107017,35079,12688,3905,1001,79,1,1248,27072,48176,28630,7618,1413,92,4,56,3632,14519,14062,6006,1349,94,5,1,609,5532,7622,4390,1142,97,8,0,174,3108,9594,10599,5412,831,82
1969,27459,145581,104631,71886,31762,9309,1190,90,26118,113533,32543,11635,3641,959,102,3,1265,27868,49768,31413,7882,1302,96,7,75,3451,14059,13794,5934,1255,101,6,1,584,5263,6888,4093,1107,99,7,0,145,2998,8157,10212,4685,792,67
1970,28919,151712,104018,68674,31901,8758,938,68,27629,118640,32720,11810,3712,983,78,1,1233,28436,50009,30326,8307,1290,93,1,57,3895,13420,13086,6056,1170,83,2,0,578,4863,6024,4008,991,77,5,0,162,3005,7429,9819,4323,608,59
1971,30285,155577,108423,68200,32414,8154,698,46,28761,120011,37255,10309,3626,847,47,1,1454,31111,51163,31759,9158,1239,66,2,71,3708,13000,13277,6401,1157,74,2,0,603,4502,6017,3948,987,67,3,0,144,2503,6838,9281,3924,444,39
1972,31051,155232,114254,66397,33046,7891,644,65,29635,117716,42007,9526,3413,748,48,1,1368,32844,55073,31636,10008,1178,63,5,48,3928,11588,12903,6766,1152,61,3,0,605,3646,5613,4007,954,69,5,0,139,1940,6718,8851,3858,403,50
1973,32037,152998,108543,61743,31249,7432,578,43,30492,113433,39292,8309,3405,708,31,1,1495,34823,53307,28897,9860,1150,57,4,50,3961,10976,12424,6472,1068,67,1,0,609,3242,5383,3645,860,64,4,0,173,1725,6729,7866,3646,359,32
1974,34253,156979,112119,58389,30491,7331,584,33,32353,115787,39453,8090,3366,678,42,1,1845,36239,56458,26240,9572,1094,59,2,56,4118,11213,12209,6425,1067,64,3,0,676,3340,5254,3484,871,58,2,0,159,1655,6598,7645,3621,361,25
1975,34787,157298,109344,56654,27963,7174,545,38,32980,115390,36708,8490,2996,671,45,2,1740,36969,56392,25468,8731,1079,55,3,67,4129,11275,11139,5924,1058,65,3,0,664,3298,5290,3333,872,52,1,0,146,1671,6266,6979,3495,329,28
1976,36308,158740,108771,55890,25267,7198,509,24,34408,115426,34910,9070,2783,666,37,1,1823,38190,56950,26336,7700,1061,53,1,76,4295,11568,10555,5449,1099,54,1,0,678,3488,4458,2962,841,48,2,0,151,1854,5471,6373,3532,317,19
1977,37830,156035,106554,58676,23175,6898,467,15,35716,112275,33521,10357,2683,628,36,2,2029,38495,56296,29152,6908,1127,48,3,84,4406,11563,10489,4945,1069,49,1,0,706,3344,4020,2708,835,44,0,0,152,1830,4658,5932,3239,291,8
1978,39686,155898,105796,56276,20379,6259,410,14,37530,112244,32922,10072,2404,601,21,1,2080,38519,56040,28658,5829,1026,44,2,75,4333,11669,9885,4363,1035,51,2,1,671,3349,3561,2375,740,45,2,0,131,1817,4100,5408,2858,249,7
1979,41975,155843,101190,54144,18480,5610,398,16,39577,112068,31630,9806,2305,586,20,1,2320,38503,53390,27688,5257,956,45,2,76,4435,11133,9393,3843,938,38,2,4,704,3228,3362,2130,675,39,1,0,133,1808,3895,4945,2455,256,10
1980,43844,157821,100823,52093,17442,4868,363,11,41210,112604,31045,9407,2425,507,21,0,2555,40031,54008,26610,5309,829,39,2,74,4380,10949,9273,3597,822,39,1,4,673,3128,3193,1834,579,33,1,0,132,1693,3609,4276,2131,231,7
